,File Names,flm_id,flm_prnt_id,elmt,elmt_non_stnd,elmt_cat,dfcy,dfcy_non_stnd,dfcy_crt,dfcy_crt_non_stnd,elmt_rtg,rec_prty,recn,recn_non_stnd,spmtl_info,refcd_photos,cap,otr_ovhd,otr_supt_leg_or_pl,sgn
0,test_app_additional_comments_pse13.csv,8d84af31-7c55-4ef7-bfbb-ab16b37f5bbb,c1270b8b-67e0-4857-b82f-3c34145efdc1,Grout,sample text,Structure,torque indicator nut still present above base plate.,sample text,15% <= through bolts (total) or adhesive/expansion anchorage nuts (total) missing < 30%,sample text,1,High,Remove cover and inspect.,sample text,sample text,sample text,,,,
1,test_app_additional_comments_sse21.csv,d4f967cb-2a5a-4010-9a22-0cd302de5ed7,c1270b8b-67e0-4857-b82f-3c34145efdc1,Concrete Foundation,a broken bolt,Clearance,Chord connection plate or arm plate broken or cracked.,a broken bolt,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",a broken bolt,2,High,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure.",a broken bolt,a broken bolt,88,,,,
2,test_app_additional_comments_tse15.csv,0d2bf9c0-f1d6-499c-9d07-c1fdd2279e49,c1270b8b-67e0-4857-b82f-3c34145efdc1,Erosion or Undermining,sample text,Attachments,Bullet holes in signal heads.,sample text,15% <= section loss < 30%,sample text,3*,High,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
3,test_app_anchor_bolts_or_structural_studs_sse17.csv,b3b5fb3b-c2f7-4a88-a72f-35108e678f03,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,"2 or more nuts or bolt in a 4 bolt configuration, OR 2 or more nuts or bolts in a 6 bolt configuration, OR 3 or more nuts or bolts in an 8 or more bolt configuration",a broken bolt,3*,Medium,Regrade around affected components.,a broken bolt,a broken bolt,41,,,,
4,test_app_anchor_bolts_pse9.csv,3f3d2595-145b-4222-a3b7-38e07ed3285f,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling at the transformer base.,sample text,15% <= section loss < 30%,sample text,2*,Medium,Lower/Retrofit/Replace affected components.,sample text,sample text,sample text,,,,
5,test_app_anchor_bolts_tse11.csv,cbfd960f-d503-47c7-8bad-3328416d56d1,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,some evidence of standing water,sample text,2*,Low,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure. Project Manager notified.",sample text,sample text,sample text,,,,
6,test_app_arm_or_wire_splices_tse10.csv,fba6ba0b-e98f-4f62-b873-62f4b8e115e9,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Connection hardware loose or missing in arm compression splice.,sample text,some evidence of standing water,sample text,3,High,No recommendation.,sample text,sample text,sample text,,,,
7,test_app_arm_or_wire_tse9.csv,c06e070f-d6e7-4ced-adc5-70da3d9edb0e,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,not conditional,sample text,2*,High,"Regrade, install retaining wall, or relocate structure.",sample text,sample text,sample text,,,,
8,test_app_arm_to_support_leg_or_wire_to_pole_connection_tse8.csv,ca772051-bb8c-4071-8490-dd0000c8ad1a,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,top of foundation submerged,sample text,3*,Medium,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure. Project Manager notified.",sample text,sample text,vsample text,,,,
9,test_app_chord_or_arm_splices_sse11.csv,fe30296f-c83c-4fb9-8c05-0d25e4eb9b29,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Connection hardware for luminaires, conduits, or light arms are loose, missing, or broken",a broken bolt,25% <= section loss < 50%,a broken bolt,1*,Low,"Regrade, install retaining wall, or relocate structure.",a broken bolt,a broken bolt,59,,,,
10,test_app_chord_or_arm_sse10.csv,c2d37d74-fa8b-4f2a-80ad-5fcac4cbb8d1,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bulb or light broken at sign lighting,a broken bolt,15% <= section loss < 30%,a broken bolt,3*,High,Regrade around affected components.,a broken bolt,a broken bolt,78,,,,
11,test_app_chord_or_arm_to_support_leg_connection_sse9.csv,61741d5d-4d0d-421f-9f92-c81d5ce89544,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,20% <= through bolts (total) or adhesive/expansion anchorage nuts (total) loose < 40%,a broken bolt,2*,Low,No recommendation.,a broken bolt,a broken bolt,28,,,,
12,test_app_chord_or_arm_trussing_sse12.csv,9e453b9f-cdcf-4cc4-a8d7-eda325151832,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bullet holes in or graffiti on sign panel,a broken bolt,20% <= through bolts (total) or adhesive/expansion anchorage nuts (total) loose < 40%,a broken bolt,3,Low,Notify Project Manager,a broken bolt,a broken bolt,48,,,,
13,test_app_clearance_comments_sse1.csv,a2bcd220-d9e3-492f-ac67-174430f6d3be,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Base plate varmint screen could not be removed, preventing inspection of anchor bolts.",a broken bolt,15% <= section loss < 25%,a broken bolt,3,Medium,Notify Project Manager,a broken bolt,a broken bolt,13,,,,
14,test_app_clearance_comments_tse1.csv,47a47807-0c95-4b57-9995-00658154974a,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Base plate to foundation height exceeds tolerance. Height between bottom of base plate and top of concrete foundation is vertical distance H"". Tolerance is related to anchor bolt diameter D"".",sample text,2 nuts in an 8 or more bolt configuration,sample text,3,High,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or remove structure.",sample text,sample text,sample text,,,,
15,test_app_concrete_foundation_pse10.csv,2d1ef4d6-1b19-4092-8df5-0b6fce616fd6,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Breakaway couplings broken, sheared, or cracked.",sample text,1% <= V/H < 2%,sample text,2,Medium,Regrade around affected components.,sample text,sample text,sample text,,,,
16,test_app_concrete_foundation_sse18.csv,07769b27-ef06-4ed1-9405-bd228f2d5b80,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,"2 or more nuts or bolt in a 4 bolt configuration, OR 2 or more nuts or bolts in a 6 bolt configuration, OR 3 or more nuts or bolts in an 8 or more bolt configuration",a broken bolt,1*,Medium,Notify Project Manager,a broken bolt,a broken bolt,50,,,,
17,test_app_concrete_foundation_tse12.csv,10832827-4157-4506-91dd-433f34a8024a,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Vegetation growth on and around foundation.,sample text,V/H < 1%,sample text,4,Medium,"Regrade, install retaining wall, or relocate structure.",sample text,sample text,sample text,,,,
18,test_app_condition_of_attachment_to_bridge_beam_or_girder_sse13.csv,98f0b1fe-5ecd-4c2d-a195-02e34b7b67a7,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Connection hardware for luminaires, conduits, or light arms are loose, missing, or broken",a broken bolt,2 nuts in an 8 or more bolt configuration,a broken bolt,2,High,Notify Project Manager,a broken bolt,a broken bolt,78,,,,
19,test_app_condition_of_attachment_to_concrete_frame_mount_structures_and_other_structures_attached_to_fixed_concrete_structures_sse16.csv,b6d2d043-cc18-45d7-9e12-495a543fe867,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bullet holes in or graffiti on sign panel,a broken bolt,15% <= section loss < 30%,a broken bolt,2,Medium,Notify Project Manager,a broken bolt,a broken bolt,18,,,,
20,test_app_condition_of_concrete_at_attachments_frame_mount_structures_and_other_structures_attached_to_fixed_concrete_structures_sse15.csv,3ea787ae-f8fa-46f1-a917-3a0a7e62a61d,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,a broken bolt,25% <= loose components < 50%,a broken bolt,2,Critical,No recommendation.,a broken bolt,a broken bolt,64,,,,
21,test_app_cover_photo.csv,87f9f0dd-ad0c-4546-9d55-f04fad4b01df,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,,,,,,,,,,,This is a photo,,,
22,test_app_erosion_or_undermining_pse11.csv,0f43952b-2904-4741-ad5f-bb7a078f7dd9,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,1% <= V/H < 2%,sample text,3*,Medium,No recommendation or replace affected member if necessary.,sample text,sample text,sample text,,,,
23,test_app_erosion_or_undermining_tse13.csv,3049a8fc-1e25-4184-b0b5-1bf739599ade,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,"standard hole, not conditional",sample text,3,Low,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
24,test_app_erosionundermining_sse19.csv,6f93261c-047c-49c7-9fc9-27880f22fe03,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,a broken bolt,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",a broken bolt,3,Low,No recommendation.,a broken bolt,a broken bolt,41,,,,
25,test_app_general_alignment_of_structure_pse2.csv,d782d629-a8c4-4c1c-b431-300271811ad7,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,"W <= 1/16""",sample text,3,Medium,Notify Project Manager,sample text,sample text,sample text,,,,
26,test_app_general_alignment_of_structure_sse3.csv,b26b0fdd-2e33-4620-881a-aca43dfab888,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bullet holes in or graffiti on sign panel,a broken bolt,2 nuts in an 8 or more bolt configuration,a broken bolt,2,Medium,No recommendation or brace/straighten affected member if necessary.,a broken bolt,a broken bolt,15,,,,
27,test_app_general_alignment_of_structure_tse3.csv,8d7bfa13-e186-45e4-acc5-2edec620157a,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",sample text,2,Low,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
28,test_app_general_appearance_of_luminaire_heads_cameras_or_other_attachments_pse1.csv,ede5e53c-aa91-49c7-bcf2-138a72215377,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,"1/16"" < W < 1/8""",sample text,1,Low,No recommendation.,sample text,sample text,sample text,,,,
29,test_app_general_appearance_of_signal_head_or_other_attachments_tse2.csv,aab7d04f-8025-4fbd-a658-76daa21584f0,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,15% <= section loss < 25%,sample text,2*,Medium,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
30,test_app_general_condition_appearance_of_signs_luminaires_or_other_attachments_sse2.csv,95b7e867-0685-4022-ba67-1f5415afc5e8,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bent member.,a broken bolt,2 nuts in an 8 or more bolt configuration,a broken bolt,3,Medium,Lower base plate to allow proper base to foundation gap or analyze for engineered solution.,a broken bolt,a broken bolt,12,,,,
31,test_app_grout_pse12.csv,e19675d9-84cc-49c0-b802-9ec6f2149f49,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Connection hardware loose, missing, or broken at arm connection to pole.",sample text,"1 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",sample text,4,Medium,Notify Project Manager,sample text,sample text,sample text,,,,
32,test_app_grout_sse20.csv,cb3f0794-d786-4e10-807b-0199bddc00aa,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,20% <= through bolts (total) or adhesive/expansion anchorage nuts (total) loose < 40%,a broken bolt,2*,Low,Notify Project Manager,a broken bolt,a broken bolt,60,,,,
33,test_app_grout_tse14.csv,9898526c-0a77-4e81-bea8-215c54812f3e,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Coating exhibits oxidation or peeling at signal head, sign, antenna, camera, or sensor.",sample text,some evidence of standing water,sample text,3*,Medium,No recommendation.,sample text,sample text,sample text,,,,
34,test_app_luminaire_arm_pse8.csv,37ef1d20-6bf8-4013-b93d-390476e9490c,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling at the transformer base.,sample text,V/H < 1%,sample text,3,Low,No recommendation.,sample text,sample text,sample text,,,,
35,test_app_luminaire_arm_to_pole_connection_pse7.csv,22d53e65-0f7a-43cf-ac20-ade64cf65162,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling at the transformer base.,sample text,no danger of collapse,sample text,2*,Medium,Lower base plate to allow proper base to foundation gap or analyze for engineered solution.,sample text,sample text,sample text,,,,
36,test_app_luminaire_heads_cameras_or_other_attachments_to_pole_connections_pse3.csv,2358ebf3-e348-48fc-8569-43f4595d9d0b,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,"not affecting anchor bolts, with exposed reinforcing steel",sample text,2*,Medium,No recommendation or replace affected member if necessary.,sample text,sample text,sample text,,,,
37,test_app_other_overhead_attachment_quantities_and_descriptions.csv,bb2c8104-e899-4673-b503-5e729f9895cf,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,,,,,,,,,,,,"Primary Mast Arm: 2 cameras, 3 antennas, 1 sensor.",,
38,test_app_other_support_leg_or_pole_attachment_quantities_and_descriptions.csv,6bfb490f-d68c-48d8-95f3-5507f628a102,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,,,,,,,,,,,,,Right Support Leg: 1 sensor,
39,test_app_pole_base_plate_pse4.csv,6d6ed57f-372a-4acd-94c4-04bfb4fb6405,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Breakaway coupling assemblies too high. Height H"" of coupler measured from top of foundation to bottom of coupler.",sample text,15% <= section loss < 25%,sample text,1*,Medium,No recommendation or replace affected member if necessary.,sample text,sample text,sample text,,,,
40,test_app_pole_or_support_leg_welded_joints_note_exclusively_for_welded_splices_in_poles_or_support_legs_not_truss_to_support_leg_connections_tse6.csv,d42d3f80-e6a5-45b4-b6ce-c27f455a7b39,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation/peeling.,sample text,some evidence of standing water,sample text,2*,Medium,No recommendation or brace/straighten affected member if necessary.,sample text,sample text,sample text,,,,
41,test_app_pole_pse6.csv,d9624044-dafe-49d9-ac40-da20ca98f429,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Top or leveling nuts missing or loose.,sample text,V/H >= 2%,sample text,2,Medium,Notify Project Manager,sample text,sample text,sample text,,,,
42,test_app_pole_slip_joint_pse5.csv,536dbf17-5218-44b8-9ccd-d85cdc255928,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Breakaway couplings broken, sheared, or cracked.",sample text,"slotted/oversize hole, nut not embedded into hole",sample text,3*,Medium,Lower/Retrofit/Replace affected components.,sample text,sample text,sample text,,,,
43,test_app_sign_or_other_attachment_to_chord_or_arm_connection_sse4.csv,56235e8d-f2d1-4461-9236-e91ae6df7326,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bent member.,a broken bolt,2 nuts in an 8 or more bolt configuration,a broken bolt,3*,Low,No recommendation or brace/straighten affected member if necessary.,a broken bolt,a broken bolt,15,,,,
44,test_app_sign_size_area_fab_code_text.csv,2d57a097-1837-4f98-91cb-c9765f8e2a98,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,,,,,,,,,,,,,,Sign 1: 16’ x 11.5’ / 184 sf / OTHER / I-64 I-77 I-79; Huntington; Parkersburg; JCT 2 MILES
45,test_app_signal_head_or_other_attachment_to_arm_or_wire_connection_tse4.csv,90b490eb-a1af-4560-bcbe-8612c5cd7577,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Connection hardware loose or missing in arm tension splice.,sample text,"2D < H <= 2D + 1""",sample text,2,Medium,"Regrade, install retaining wall, or relocate structure.",sample text,sample text,sample text,,,,
46,test_app_structural_members_of_frame_structures_sse14.csv,36969ea0-8375-4a45-868a-ec8d976d2afc,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling at sign lighting luminaire housing,a broken bolt,2 nuts in an 8 or more bolt configuration,a broken bolt,2*,Low,"Regrade, install retaining wall, or relocate structure.",a broken bolt,a broken bolt,94,,,,
47,test_app_support_leg_base_or_connection_plate_sse5.csv,494e0b06-760e-45d0-9e58-4a2ec203393c,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bullet holes in or graffiti on sign panel,a broken bolt,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",a broken bolt,2,Medium,No recommendation.,a broken bolt,a broken bolt,18,,,,
48,test_app_support_leg_or_pole_base_plate_tse5.csv,1cf67e4b-a4e0-4f3c-b109-1f4fbad05a01,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,"Coating exhibits oxidation or peeling at signal head, sign, antenna, camera, or sensor.",sample text,15% <= section loss < 30%,sample text,2*,Medium,"Lower structure, retrofit short anchor bolt assembly to restore full capacity, or analyze for engineered solution.",sample text,sample text,sample text,,,,
49,test_app_support_leg_or_pole_tse7.csv,16255514-0efa-42d1-8b55-545612e4eb33,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Coating exhibits oxidation or peeling.,sample text,tension member,sample text,2,High,Regrade around affected components.,sample text,sample text,sample text,,,,
50,test_app_support_leg_sse8.csv,85fa120e-9825-4d9e-9176-c436950851c3,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,15% <= through bolts (total) or adhesive/expansion anchorage nuts (total) missing < 30%,a broken bolt,3*,Medium,Notify Project Manager,a broken bolt,a broken bolt,49,,,,
51,test_app_support_leg_trussing_sse6.csv,08881ab6-8d20-4928-82f6-98ea13706d88,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Chord connection plate or arm plate broken or cracked.,a broken bolt,15% <= through bolts (total) or adhesive/expansion anchorage nuts (total) missing < 30%,a broken bolt,1*,Medium,Notify Project Manager,a broken bolt,a broken bolt,29,,,,
52,test_app_support_leg_welded_joints_note_exclusively_for_welded_splices_in_support_legs_not_truss_to_support_leg_connections_sse7.csv,80ccc989-f7d9-44c5-b8fa-ccdec20a1874,c1270b8b-67e0-4857-b82f-3c34145efdc1,,,,Bullet holes in or graffiti on sign panel,a broken bolt,"2 or more nuts in a 4 bolt configuration, OR 2 or more nuts in a 6 bolt configuration, OR 3 or more nuts in an 8 or more bolt configuration",a broken bolt,3*,High,Remove excess washers.,a broken bolt,a broken bolt,48,,,,
